case_name,aircon,ventilation,exhaust,1_x,1_y,1_z,1_angle,2_x,2_y,2_z,2_angle,3_x,3_y,3_z,3_angle,4_x,4_y,4_z,4_angle,5_x,5_y,5_z,5_angle,office_size_x,office_size_y,aircon_position_x,aircon_position_y
office15_360_246_bout,360,246,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_82_aout,960,82,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_360_82_bout,360,82,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_360_82_aout,360,82,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_0_0,0,0,off,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_164_bout,960,164,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_0_246_aout,0,246,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_360_164_aout,360,164,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_360_0,360,0,off,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_0_82_bout,0,82,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_246_aout,960,246,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_164_aout,960,164,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_0_164_bout,0,164,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_0_246_bout,0,246,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_82_bout,960,82,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_660_0,660,0,off,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_360_246_aout,360,246,a,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_0,960,0,off,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office15_960_246_bout,960,246,b,3.166,3.99,1.255,0.0,3.166,2.54,1.255,0.0,1.266,4.69,1.255,0.0,1.266,3.24,1.255,0.0,1.266,1.79,1.255,0.0,7.0,6.0,3.5,3.0
office16_360_164_bout,360,164,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_660_246_aout,660,246,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_660_82_bout,660,82,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_660_82_aout,660,82,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_660_164_bout,660,164,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_0_164_aout,0,164,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_0_82_aout,0,82,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_660_164_aout,660,164,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_660_246_bout,660,246,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_360_246_bout,360,246,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_960_82_aout,960,82,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_360_82_bout,360,82,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_360_82_aout,360,82,a,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_0_0,0,0,off,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
office16_960_164_bout,960,164,b,7.735,2.505,1.255,180.0,6.26,3.485,1.255,270.0,4.81,3.485,1.255,270.0,5.86,1.566,1.255,90.0,4.41,1.566,1.255,90.0,9.0,5.0,4.5,2.5
