case_name,office,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office8_360_164_aout,office8,360.0,164.0,a,1849.245
office8_360_164_bout,office8,360.0,164.0,b,1819.703
office8_360_246_aout,office8,360.0,246.0,a,1845.7830000000001
office8_360_246_bout,office8,360.0,246.0,b,2111.597
office8_360_82_aout,office8,360.0,82.0,a,1892.2016666666666
office8_360_82_bout,office8,360.0,82.0,b,1863.8060000000003
office8_660_0,office8,660.0,0.0,off,2026.7543333333335
office8_660_164_aout,office8,660.0,164.0,a,1882.1426666666669
office8_660_164_bout,office8,660.0,164.0,b,1835.7129999999997
office8_660_246_aout,office8,660.0,246.0,a,1904.9196666666667
office8_660_246_bout,office8,660.0,246.0,b,1842.8313333333333
office8_660_82_aout,office8,660.0,82.0,a,2096.03
office8_660_82_bout,office8,660.0,82.0,b,1894.818
office8_960_0,office8,960.0,0.0,off,1804.494333333333
office8_960_164_aout,office8,960.0,164.0,a,1805.1240000000003
office8_960_164_bout,office8,960.0,164.0,b,1832.1793333333335
office8_960_246_aout,office8,960.0,246.0,a,2028.5413333333333
office8_960_246_bout,office8,960.0,246.0,b,1990.8783333333333
office8_960_82_aout,office8,960.0,82.0,a,1861.8216666666667
office8_960_82_bout,office8,960.0,82.0,b,1764.5773333333332
office9_0_0,office9,0.0,0.0,off,1600.3829999999998
office9_0_164_aout,office9,0.0,164.0,a,2055.962
office9_0_164_bout,office9,0.0,164.0,b,2676.5779999999995
office9_0_246_aout,office9,0.0,246.0,a,2246.6589999999997
office9_0_246_bout,office9,0.0,246.0,b,2063.91
office9_0_82_aout,office9,0.0,82.0,a,1815.6219999999998
office9_0_82_bout,office9,0.0,82.0,b,2236.243
office9_360_0,office9,360.0,0.0,off,1601.4579999999999
office9_360_164_aout,office9,360.0,164.0,a,1809.1896666666667
office9_360_164_bout,office9,360.0,164.0,b,1945.7303333333332
office9_360_246_aout,office9,360.0,246.0,a,1598.4963333333335
office9_360_246_bout,office9,360.0,246.0,b,1754.2810000000002
office9_360_82_aout,office9,360.0,82.0,a,1782.2566666666667
office9_360_82_bout,office9,360.0,82.0,b,2078.065
office9_660_0,office9,660.0,0.0,off,1696.8376666666663
office9_660_164_aout,office9,660.0,164.0,a,1719.9016666666666
office9_660_164_bout,office9,660.0,164.0,b,2120.4893333333334
office9_660_246_aout,office9,660.0,246.0,a,1614.5853333333332
office9_660_246_bout,office9,660.0,246.0,b,2058.268
office9_660_82_aout,office9,660.0,82.0,a,1892.6973333333333
office9_660_82_bout,office9,660.0,82.0,b,1848.1810000000003
office9_960_0,office9,960.0,0.0,off,2042.4586666666669
office9_960_164_aout,office9,960.0,164.0,a,1792.8746666666668
office9_960_164_bout,office9,960.0,164.0,b,1747.4240000000002
office9_960_246_aout,office9,960.0,246.0,a,2076.052
office9_960_246_bout,office9,960.0,246.0,b,2151.431
office9_960_82_aout,office9,960.0,82.0,a,1942.6266666666668
office9_960_82_bout,office9,960.0,82.0,b,2076.373
office10_0_0,office10,0.0,0.0,off,2218.2093333333337
office10_0_164_aout,office10,0.0,164.0,a,2876.1436666666664
office10_0_164_bout,office10,0.0,164.0,b,2242.652
office10_0_246_aout,office10,0.0,246.0,a,2730.8796666666663
office10_0_246_bout,office10,0.0,246.0,b,3152.484
office10_0_82_aout,office10,0.0,82.0,a,2692.077333333333
office10_0_82_bout,office10,0.0,82.0,b,2188.3083333333334
office10_360_0,office10,360.0,0.0,off,1349.606
office10_360_164_aout,office10,360.0,164.0,a,1222.3373333333332
office10_360_164_bout,office10,360.0,164.0,b,1340.8013333333333
office10_360_246_aout,office10,360.0,246.0,a,1355.3580000000002
office10_360_246_bout,office10,360.0,246.0,b,1701.6336666666666
office10_360_82_aout,office10,360.0,82.0,a,1003.9593333333335
office10_360_82_bout,office10,360.0,82.0,b,905.76
office10_660_0,office10,660.0,0.0,off,513.9513333333333
office10_660_164_aout,office10,660.0,164.0,a,840.678
office10_660_164_bout,office10,660.0,164.0,b,632.761
office10_660_246_aout,office10,660.0,246.0,a,1173.2253333333333
office10_660_246_bout,office10,660.0,246.0,b,722.5063333333334
office10_660_82_aout,office10,660.0,82.0,a,876.0793333333332
office10_660_82_bout,office10,660.0,82.0,b,764.6080000000001
office10_960_0,office10,960.0,0.0,off,1200.2510000000002
office10_960_164_aout,office10,960.0,164.0,a,1019.8363333333334
office10_960_164_bout,office10,960.0,164.0,b,1001.9276666666666
office10_960_246_aout,office10,960.0,246.0,a,1196.1923333333332
office10_960_246_bout,office10,960.0,246.0,b,1200.7693333333334
office10_960_82_aout,office10,960.0,82.0,a,1141.7216666666666
office10_960_82_bout,office10,960.0,82.0,b,1270.4546666666668
office11_0_0,office11,0.0,0.0,off,2268.932333333333
office11_0_164_aout,office11,0.0,164.0,a,2147.5910000000003
office11_0_164_bout,office11,0.0,164.0,b,1691.6293333333335
office11_0_246_aout,office11,0.0,246.0,a,2458.2163333333333
office11_0_246_bout,office11,0.0,246.0,b,1704.6566666666668
office11_0_82_aout,office11,0.0,82.0,a,2585.016333333333
office11_0_82_bout,office11,0.0,82.0,b,1558.8339999999998
office11_360_0,office11,360.0,0.0,off,1103.3606666666667
office11_360_164_aout,office11,360.0,164.0,a,1429.683
office11_360_164_bout,office11,360.0,164.0,b,1405.6356666666668
office11_360_246_aout,office11,360.0,246.0,a,1288.6576666666667
office11_360_246_bout,office11,360.0,246.0,b,1507.9509999999998
office11_360_82_aout,office11,360.0,82.0,a,1358.2366666666667
office11_360_82_bout,office11,360.0,82.0,b,1007.3209999999999
office11_660_0,office11,660.0,0.0,off,1194.5003333333332
office11_660_164_aout,office11,660.0,164.0,a,1629.088
office11_660_164_bout,office11,660.0,164.0,b,1591.4076666666667
office11_660_246_aout,office11,660.0,246.0,a,1115.3539999999998
office11_660_246_bout,office11,660.0,246.0,b,1935.8920000000003
office11_660_82_aout,office11,660.0,82.0,a,1502.8633333333332
office11_660_82_bout,office11,660.0,82.0,b,1341.5406666666668
office11_960_0,office11,960.0,0.0,off,1070.6629999999998
office11_960_164_aout,office11,960.0,164.0,a,1457.4303333333332
office11_960_164_bout,office11,960.0,164.0,b,1526.8333333333333
office11_960_246_aout,office11,960.0,246.0,a,1185.05
office11_960_246_bout,office11,960.0,246.0,b,1542.641
