case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office6_660_246_bout,office6,660.0,246.0,b,6825.0,206.8181818181818,347.5594009983361,1683.1803660565722
office6_660_82_aout,office6,660.0,82.0,a,6883.0,208.5757575757576,185.58502495840267,1561.1344425956738
office6_660_82_bout,office6,660.0,82.0,b,6974.4,211.3454545454545,189.18236272878536,1341.3640599001662
office6_960_0,office6,960.0,0.0,off,7945.2,240.76363636363635,202.98668885191347,1936.1417637271218
office6_960_164_aout,office6,960.0,164.0,a,7520.2,227.88484848484845,260.4965058236273,1850.1068219633946
office6_960_164_bout,office6,960.0,164.0,b,7071.4,214.2848484848485,166.8502495840266,1274.4289517470881
office6_960_246_aout,office6,960.0,246.0,a,7437.6,225.3818181818182,269.17171381031613,1864.7474209650582
office6_960_246_bout,office6,960.0,246.0,b,7195.8,218.05454545454543,257.74276206322793,1657.071214642263
office6_960_82_aout,office6,960.0,82.0,a,6592.2,199.7636363636364,231.8369384359401,1306.2106489184691
office6_960_82_bout,office6,960.0,82.0,b,6504.6,197.1090909090909,198.96805324459234,1139.5976705490848
office4_0_0,office4,0.0,0.0,off,5042.4,152.8,474.46422628951746,2236.5474209650583
office4_0_164_aout,office4,0.0,164.0,a,4274.0,129.5151515151515,616.2199667221298,2896.8585690515806
office4_0_164_bout,office4,0.0,164.0,b,5822.6,176.44242424242424,546.0971713810317,3065.951414309485
office4_0_246_aout,office4,0.0,246.0,a,5959.2,180.5818181818182,552.2722129783693,2532.5008319467556
office4_0_246_bout,office4,0.0,246.0,b,4995.4,151.37575757575758,502.4868552412645,2666.5960066555745
office4_0_82_aout,office4,0.0,82.0,a,4894.6,148.3212121212121,562.6183028286189,2338.136106489185
office4_0_82_bout,office4,0.0,82.0,b,4985.8,151.08484848484846,557.7457570715475,2525.39234608985
office4_360_0,office4,360.0,0.0,off,5161.0,156.39393939393938,526.0352745424293,2770.59700499168
office4_360_164_aout,office4,360.0,164.0,a,4637.2,140.52121212121213,633.3487520798668,2677.783361064892
office4_360_164_bout,office4,360.0,164.0,b,4928.6,149.35151515151514,449.2971713810316,2539.944758735441
office4_360_246_aout,office4,360.0,246.0,a,4746.6,143.8363636363636,501.171381031614,2411.2316139767054
office4_360_246_bout,office4,360.0,246.0,b,5173.4,156.769696969697,445.738768718802,2458.010648918469
office4_360_82_aout,office4,360.0,82.0,a,5088.6,154.2,477.72579034941765,2785.2176372712142
office4_360_82_bout,office4,360.0,82.0,b,4641.4,140.64848484848486,397.77903494176377,2167.3414309484197
