case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,count_sum,count_timeMean
office8_960_82_bout,office8,960.0,82.0,b,6066.8,168.5222222222222,270813.0,450.60399334442593
office9_0_0,office9,0.0,0.0,off,5742.8,159.5222222222222,142178.0,236.56905158069884
office9_0_164_aout,office9,0.0,164.0,a,5450.8,151.4111111111111,284309.2,473.0602329450915
office9_0_164_bout,office9,0.0,164.0,b,6373.8,177.05,333997.6,555.7364392678868
office9_0_246_aout,office9,0.0,246.0,a,6838.4,189.9555555555556,227645.4,378.7777038269551
office9_0_246_bout,office9,0.0,246.0,b,6342.4,176.17777777777778,258750.2,430.53277870216306
office9_0_82_aout,office9,0.0,82.0,a,5417.0,150.47222222222223,226029.8,376.08951747088184
office9_0_82_bout,office9,0.0,82.0,b,6309.2,175.25555555555556,247147.4,411.2269550748752
office9_360_0,office9,360.0,0.0,off,6041.8,167.82777777777778,151443.6,251.98602329450915
office9_360_164_aout,office9,360.0,164.0,a,5999.8,166.6611111111111,202303.4,336.61131447587354
office9_360_164_bout,office9,360.0,164.0,b,6307.4,175.20555555555555,216487.4,360.2119800332779
office9_360_246_aout,office9,360.0,246.0,a,6642.4,184.51111111111112,174020.6,289.55174708818635
office9_360_246_bout,office9,360.0,246.0,b,6613.8,183.71666666666667,167104.2,278.0435940099834
office9_360_82_aout,office9,360.0,82.0,a,5970.0,165.83333333333331,198201.2,329.785690515807
office9_360_82_bout,office9,360.0,82.0,b,6451.2,179.2,207997.8,346.0861896838602
office9_660_0,office9,660.0,0.0,off,6702.6,186.1833333333333,183673.4,305.61297836938434
office9_660_164_aout,office9,660.0,164.0,a,6826.4,189.62222222222223,185135.8,308.04625623960067
office9_660_164_bout,office9,660.0,164.0,b,7095.0,197.0833333333333,246830.0,410.69883527454243
office9_660_246_aout,office9,660.0,246.0,a,6914.4,192.06666666666663,170301.6,283.36372712146425
office9_660_246_bout,office9,660.0,246.0,b,6548.0,181.88888888888889,261500.6,435.1091514143095
office9_660_82_aout,office9,660.0,82.0,a,7129.8,198.05,170543.6,283.76638935108156
office9_660_82_bout,office9,660.0,82.0,b,6571.0,182.52777777777777,282312.0,469.73710482529117
office9_960_0,office9,960.0,0.0,off,7293.2,202.5888888888889,261480.6,435.0758735440932
