casename,num_drop,volume[ml],RoI
office28_0_246_bout_C,7199,7.0676193e-05,126.29824561403508
office28_0_82_aout_C,3566,4.03428021e-05,62.56140350877193
office28_0_82_bout_C,3535,3.93580085e-05,62.01754385964912
office28_360_0_C,3128,2.07070134e-05,54.87719298245614
office28_360_164_aout_C,2152,1.32690329e-05,37.75438596491228
office28_360_164_bout_C,3442,2.9865696e-05,60.3859649122807
office28_360_246_aout_C,2694,1.72599503e-05,47.26315789473684
office28_360_246_bout_C,2242,1.50342903e-05,39.333333333333336
office28_360_82_aout_C,2412,1.72547334e-05,42.31578947368421
office28_360_82_bout_C,5912,2.77139534e-05,103.71929824561404
office28_660_0_C,1505,9.37654477e-06,26.403508771929825
office28_660_164_aout_C,2042,1.25228771e-05,35.824561403508774
office28_660_164_bout_C,3241,3.42440871e-05,56.85964912280702
office28_660_246_aout_C,2382,1.56667884e-05,41.78947368421053
office28_660_246_bout_C,2616,1.98748585e-05,45.89473684210526
office28_660_82_aout_C,2878,1.99450024e-05,50.49122807017544
office28_660_82_bout_C,1163,9.36899778e-06,20.403508771929825
office28_960_0_C,2850,3.62961546e-05,50.0
office28_960_164_aout_C,3402,3.6187048e-05,59.68421052631579
office28_960_164_bout_C,3861,7.01183817e-05,67.73684210526316
office28_960_246_aout_C,3257,5.85624366e-05,57.14035087719298
office28_960_246_bout_C,2945,9.42060724e-05,51.666666666666664
office28_960_82_aout_C,2779,6.76115524e-05,48.75438596491228
office28_960_82_bout_C,4574,0.000103475402,80.24561403508773
office28_0_0_D,3919,2.09836853e-05,68.75438596491227
office28_0_164_aout_D,3439,2.37836757e-05,60.333333333333336
office28_0_164_bout_D,4695,3.12861885e-05,82.36842105263158
office28_0_246_aout_D,4074,2.26942939e-05,71.47368421052632
office28_0_246_bout_D,6416,4.38945317e-05,112.56140350877193
office28_0_82_aout_D,3331,3.30994226e-05,58.43859649122807
office28_0_82_bout_D,4265,3.59591104e-05,74.82456140350877
office28_360_0_D,3039,2.97931329e-05,53.31578947368421
office28_360_164_aout_D,2894,3.36322628e-05,50.771929824561404
office28_360_164_bout_D,2692,3.32769523e-05,47.228070175438596
office28_360_246_aout_D,2347,4.88895203e-05,41.175438596491226
office28_360_246_bout_D,2032,1.48420177e-05,35.64912280701754
office28_360_82_aout_D,2451,4.26935476e-05,43.0
