casename,num_drop,volume[ml],RoI
office14_0_82_aout,2803.2,1.7763292994e-05,66.74285714285715
office14_0_82_bout,3320.8,2.815789412e-05,79.06666666666666
office14_360_0,2761.2,3.0884428686e-05,65.74285714285715
office14_360_164_aout,2547.4,1.8817165437999996e-05,60.65238095238095
office14_360_164_bout,2719.2,2.5206043214e-05,64.74285714285715
office14_360_246_aout,2179.6,1.5317782351999996e-05,51.8952380952381
office14_360_246_bout,3515.6,4.0005789374000004e-05,83.70476190476191
office14_360_82_aout,2410.4,1.6749982318000002e-05,57.39047619047619
office14_360_82_bout,3487.6,2.6918800891999996e-05,83.03809523809524
office14_660_0,2879.2,2.2635878308000002e-05,68.55238095238096
office14_660_164_aout,2582.8,2.9987793648000003e-05,61.49523809523809
office14_660_164_bout,2832.8,2.6393188300000002e-05,67.44761904761906
office14_660_246_aout,3417.8,2.4407246772e-05,81.37619047619049
office14_660_246_bout,3539.2,5.597617380000001e-05,84.26666666666667
office14_660_82_aout,3160.6,3.5985284284e-05,75.25238095238095
office14_660_82_bout,2729.0,3.2389306233999995e-05,64.97619047619048
office14_960_0,3802.0,3.9854628446e-05,90.52380952380953
office14_960_164_aout,3414.6,3.439968968e-05,81.3
office14_960_164_bout,3636.2,4.1167211402e-05,86.57619047619048
office14_960_246_aout,4290.4,5.204643870000001e-05,102.15238095238094
office14_960_246_bout,4407.4,4.4214868299999996e-05,104.93809523809523
office14_960_82_aout,2296.4,2.9424825959999995e-05,54.67619047619047
office14_960_82_bout,4246.8,4.70138064e-05,101.11428571428571
office15_0_0,2945.6,2.280966982e-05,70.13333333333334
office15_0_164_aout,3135.0,3.115763174e-05,74.64285714285714
office15_0_164_bout,3563.0,4.3541935699999994e-05,84.83333333333333
office15_0_246_aout,4311.0,4.372345938e-05,102.64285714285714
office15_0_246_bout,3872.6,3.3593806895999996e-05,92.20476190476191
office15_0_82_aout,3042.0,2.7855052388e-05,72.42857142857143
office15_0_82_bout,2468.2,1.9179588846e-05,58.766666666666666
office15_360_0,3087.8,2.5566387030000004e-05,73.51904761904761
office15_360_164_aout,2870.0,2.558812852066e-05,68.33333333333334
office15_360_164_bout,3693.4,3.96995878195794e-05,87.93809523809524
office15_360_246_aout,3853.8,2.4379028303999997e-05,91.75714285714287
office15_360_246_bout,3423.2,4.5416776948200004e-05,81.5047619047619
office15_360_82_aout,1851.4,1.6916394647399997e-05,44.08095238095238
office15_360_82_bout,2330.4,2.1332634333800004e-05,55.48571428571429
office15_660_0,3168.4,3.4243107084e-05,75.43809523809524
office15_660_164_aout,4138.0,3.0726322104e-05,98.52380952380952
office15_660_164_bout,4054.4,3.73230606742e-05,96.53333333333333
office15_660_246_aout,3275.6,3.536181722e-05,77.99047619047619
office15_660_246_bout,5016.8,6.038284751400001e-05,119.44761904761906
office15_660_82_aout,4055.0,4.254819378e-05,96.54761904761905
office15_660_82_bout,3319.6,3.4124541156e-05,79.03809523809522
office15_960_0,4577.0,5.575351352e-05,108.97619047619048
office15_960_164_aout,4913.2,4.206768718e-05,116.98095238095239
office15_960_164_bout,5338.0,5.8203044492e-05,127.0952380952381
office15_960_246_aout,5147.0,5.1928135139999995e-05,122.54761904761907
office15_960_246_bout,4322.4,4.995457054e-05,102.91428571428571
office15_960_82_aout,4166.8,4.8164636260000004e-05,99.2095238095238
office15_960_82_bout,4797.2,4.3402787118e-05,114.21904761904761
office8_0_0,5427.6,3.852349436e-05,150.76666666666668
office8_0_164_aout,5541.2,4.785332638e-05,153.92222222222222
office8_0_164_bout,5605.8,5.343650554e-05,155.71666666666664
