casename,num_drop,volume[ml],RoI
office7_660_164_aout,6353.4,7.280450525999999e-05,176.48333333333335
office7_660_164_bout,6896.2,0.00010342298556,191.5611111111111
office7_660_246_aout,6564.4,8.432028629999999e-05,182.3444444444444
office7_660_246_bout,7509.8,8.920736026e-05,208.60555555555555
office7_660_82_aout,6111.4,8.007312788e-05,169.76111111111112
office7_660_82_bout,6599.6,8.879249285999999e-05,183.32222222222222
office7_960_0,7019.0,8.830328806e-05,194.97222222222223
office7_960_164_aout,6790.8,8.829191647999999e-05,188.63333333333335
office7_960_164_bout,6587.0,9.259157300000001e-05,182.97222222222223
office7_960_246_aout,6698.8,8.105028100000001e-05,186.07777777777778
office7_960_246_bout,7043.4,9.919727394e-05,195.64999999999998
office7_960_82_aout,6855.2,9.760351374000001e-05,190.42222222222222
office7_960_82_bout,6938.4,0.00010120062529999998,192.73333333333332
office8_0_0,5006.0,5.265962826e-05,139.05555555555557
office8_0_164_aout,5257.0,6.447778722e-05,146.02777777777777
office8_0_164_bout,4541.4,6.176017488e-05,126.15
office8_0_246_aout,4751.2,5.5607595299999994e-05,131.9777777777778
office8_0_246_bout,4543.2,6.960718385999999e-05,126.2
office8_0_82_aout,4885.0,6.047969222e-05,135.69444444444446
office8_0_82_bout,5018.6,6.360603218000001e-05,139.40555555555557
office8_360_0,4643.0,5.033682392e-05,128.97222222222223
office8_360_164_aout,4528.4,5.2142373519999994e-05,125.78888888888889
office8_360_164_bout,4406.2,5.1889193840000004e-05,122.39444444444443
office8_360_246_aout,5281.8,6.130877228e-05,146.71666666666664
office8_360_246_bout,4663.6,4.458347432e-05,129.54444444444445
office8_360_82_aout,4577.0,6.00451138e-05,127.13888888888889
office8_360_82_bout,4704.6,5.988188566e-05,130.68333333333334
office8_660_0,4967.2,5.612946042000001e-05,137.9777777777778
office8_660_164_aout,4974.4,5.49200686e-05,138.17777777777775
office8_660_164_bout,5397.6,4.993383954e-05,149.93333333333334
office8_660_246_aout,5275.6,5.938041938e-05,146.54444444444445
office8_660_246_bout,5678.4,6.476914132e-05,157.73333333333335
office8_660_82_aout,5362.0,4.41647604e-05,148.94444444444446
